document,approach,correct_clusters,extra_clusters,missed_clusters,non_pronoun_ratio,total_mentions,non_pronoun_mentions
htb:232,raw,3,6,6,0.16666666666666666,6.0,1.0
htb:232,gold_tokenized,4,3,5,0.125,8.0,1.0
htb:232,sota_tokenized,4,5,5,0.25,8.0,2.0
htb:233,raw,1,8,16,1.0,2.0,2.0
htb:233,gold_tokenized,2,7,15,1.0,4.0,4.0
htb:233,sota_tokenized,3,8,14,1.0,6.0,6.0
htb:234,raw,0,6,10,,,
htb:234,gold_tokenized,0,6,10,,,
htb:234,sota_tokenized,0,5,10,,,
htb:235,raw,1,7,17,1.0,2.0,2.0
htb:235,gold_tokenized,1,7,17,1.0,2.0,2.0
htb:235,sota_tokenized,2,7,16,0.5,4.0,2.0
htb:236,raw,3,11,19,0.6666666666666666,6.0,4.0
htb:236,gold_tokenized,3,8,19,1.0,6.0,6.0
htb:236,sota_tokenized,1,8,21,1.0,2.0,2.0
htb:237,raw,0,10,23,,,
htb:237,gold_tokenized,0,9,23,,,
htb:237,sota_tokenized,0,10,23,,,
htb:238,raw,4,1,10,0.5,8.0,4.0
htb:238,gold_tokenized,1,3,13,0.0,2.0,0.0
htb:238,sota_tokenized,2,3,12,0.75,4.0,3.0
htb:239_1,raw,1,7,15,1.0,2.0,2.0
htb:239_1,gold_tokenized,1,6,15,1.0,2.0,2.0
htb:239_1,sota_tokenized,2,6,14,1.0,4.0,4.0
htb:239_2,raw,2,15,30,1.0,4.0,4.0
htb:239_2,gold_tokenized,4,11,28,0.5,8.0,4.0
htb:239_2,sota_tokenized,2,10,30,0.0,4.0,0.0
htb:240,raw,2,6,11,0.0,4.0,0.0
htb:240,gold_tokenized,2,4,11,0.25,4.0,1.0
htb:240,sota_tokenized,2,4,11,0.0,4.0,0.0
htb:241_1,raw,3,7,26,1.0,6.0,6.0
htb:241_1,gold_tokenized,3,8,26,1.0,6.0,6.0
htb:241_1,sota_tokenized,3,5,26,0.6666666666666666,6.0,4.0
htb:241_2,raw,5,8,29,0.5,10.0,5.0
htb:241_2,gold_tokenized,5,7,29,0.3,10.0,3.0
htb:241_2,sota_tokenized,4,10,30,0.375,8.0,3.0
htb:242_1,raw,1,9,30,0.5,2.0,1.0
htb:242_1,gold_tokenized,1,12,30,0.5,2.0,1.0
htb:242_1,sota_tokenized,1,10,30,0.5,2.0,1.0
htb:242_2,raw,0,10,13,,,
htb:242_2,gold_tokenized,1,9,12,0.0,2.0,0.0
htb:242_2,sota_tokenized,0,10,13,,,
htb:243,raw,3,4,15,0.3333333333333333,6.0,2.0
htb:243,gold_tokenized,1,6,17,1.0,2.0,2.0
htb:243,sota_tokenized,1,8,17,1.0,2.0,2.0
htb:244,raw,0,6,14,,,
htb:244,gold_tokenized,0,5,14,,,
htb:244,sota_tokenized,0,4,14,,,
htb:245,raw,0,2,11,,,
htb:245,gold_tokenized,2,4,9,0.0,4.0,0.0
htb:245,sota_tokenized,1,3,10,0.0,2.0,0.0
htb:246,raw,2,4,24,0.0,4.0,0.0
htb:246,gold_tokenized,6,6,20,0.0,12.0,0.0
htb:246,sota_tokenized,2,13,24,0.0,4.0,0.0
htb:247,raw,1,9,17,0.0,2.0,0.0
htb:247,gold_tokenized,0,8,18,,,
htb:247,sota_tokenized,0,7,18,,,
htb:248_1,raw,0,5,13,,,
htb:248_1,gold_tokenized,2,5,11,0.0,4.0,0.0
htb:248_1,sota_tokenized,1,5,12,0.0,2.0,0.0
htb:248_2,raw,0,10,19,,,
htb:248_2,gold_tokenized,0,10,19,,,
htb:248_2,sota_tokenized,1,8,18,0.0,2.0,0.0
htb:248_3,raw,4,2,13,0.375,8.0,3.0
htb:248_3,gold_tokenized,1,4,16,0.5,2.0,1.0
htb:248_3,sota_tokenized,1,4,16,0.5,2.0,1.0
htb:249,raw,4,14,32,0.25,8.0,2.0
htb:249,gold_tokenized,5,15,31,0.4,10.0,4.0
htb:249,sota_tokenized,4,15,32,0.375,8.0,3.0
htb:250,raw,1,0,0,1.0,2.0,2.0
htb:250,gold_tokenized,0,1,1,,,
htb:250,sota_tokenized,1,0,0,1.0,2.0,2.0
