Document,Approach,Correct_Clusters,Extra_Clusters,Missed_Clusters,Non_Pronoun_Ratio,Total_Mentions,Non_Pronoun_Mentions
htb:232,neural_sota,4,4,5,0.52,25,13
htb:232,sota_tokenized,4,5,5,1.0,26,26
htb:233,neural_sota,6,7,11,0.6666666666666666,42,28
htb:233,sota_tokenized,6,5,11,1.0,40,40
htb:234,neural_sota,5,2,5,0.5555555555555556,27,15
htb:234,sota_tokenized,3,2,7,1.0,21,21
htb:235,neural_sota,14,6,4,0.7121212121212122,66,47
htb:235,sota_tokenized,5,4,13,1.0,37,37
htb:236,neural_sota,11,11,11,0.5757575757575758,66,38
htb:236,sota_tokenized,3,6,19,1.0,37,37
htb:237,neural_sota,10,6,13,0.576271186440678,59,34
htb:237,sota_tokenized,7,3,16,1.0,47,47
htb:238,neural_sota,7,4,7,0.5128205128205128,39,20
htb:238,sota_tokenized,5,0,9,1.0,29,29
htb:239_1,neural_sota,6,5,10,0.358974358974359,39,14
htb:239_1,sota_tokenized,2,6,14,1.0,28,28
htb:239_2,neural_sota,17,16,15,0.3838383838383838,99,38
htb:239_2,sota_tokenized,2,10,30,1.0,48,48
htb:240,neural_sota,4,3,9,0.25,28,7
htb:240,sota_tokenized,5,1,8,1.0,29,29
htb:241_1,neural_sota,10,6,19,0.4307692307692308,65,28
htb:241_1,sota_tokenized,6,2,23,1.0,49,49
htb:241_2,neural_sota,20,6,14,0.62,100,62
htb:241_2,sota_tokenized,10,4,24,1.0,68,68
htb:242_1,neural_sota,15,13,16,0.5955056179775281,89,53
htb:242_1,sota_tokenized,7,4,24,1.0,56,56
htb:242_2,neural_sota,7,4,6,0.3684210526315789,38,14
htb:242_2,sota_tokenized,5,5,8,1.0,33,33
htb:243,neural_sota,13,3,5,0.2833333333333333,60,17
htb:243,sota_tokenized,6,3,12,1.0,39,39
htb:244,neural_sota,4,4,10,0.26666666666666666,30,8
htb:244,sota_tokenized,2,2,12,1.0,22,22
htb:245,neural_sota,6,2,5,0.4838709677419355,31,15
htb:245,sota_tokenized,2,2,9,1.0,19,19
htb:246,neural_sota,7,10,19,0.24561403508771928,57,14
htb:246,sota_tokenized,8,7,18,1.0,57,57
htb:247,neural_sota,10,4,8,0.34615384615384615,52,18
htb:247,sota_tokenized,6,1,12,1.0,37,37
htb:248_1,neural_sota,5,4,8,0.4375,32,14
htb:248_1,sota_tokenized,4,2,9,1.0,27,27
htb:248_2,neural_sota,7,8,12,0.5416666666666666,48,26
htb:248_2,sota_tokenized,7,2,12,1.0,42,42
htb:248_3,neural_sota,6,2,11,0.2702702702702703,37,10
htb:248_3,sota_tokenized,5,0,12,1.0,32,32
htb:249,neural_sota,19,8,17,0.24752475247524752,101,25
htb:249,sota_tokenized,15,4,21,1.0,85,85
htb:250,neural_sota,1,0,0,1.0,4,4
htb:250,sota_tokenized,1,0,0,1.0,4,4
