Document,Approach,Correct_Clusters,Extra_Clusters,Missed_Clusters,Non_Pronoun_Ratio,Total_Mentions,Non_Pronoun_Mentions
htb:232,neural_sota,4,4,5,0.625,8,5
htb:232,neural_gold,5,2,4,0.3,10,3
htb:233,neural_sota,6,7,11,0.6666666666666666,12,8
htb:233,neural_gold,7,5,10,0.5714285714285714,14,8
htb:234,neural_sota,5,2,5,0.5,10,5
htb:234,neural_gold,6,3,4,0.3333333333333333,12,4
htb:235,neural_sota,14,6,4,0.7142857142857143,28,20
htb:235,neural_gold,12,2,6,0.5833333333333334,24,14
htb:236,neural_sota,11,11,11,0.5909090909090909,22,13
htb:236,neural_gold,8,14,14,0.375,16,6
htb:237,neural_sota,10,6,13,0.45,20,9
htb:237,neural_gold,11,5,12,0.6363636363636364,22,14
htb:238,neural_sota,7,4,7,0.5,14,7
htb:238,neural_gold,9,3,5,0.4444444444444444,18,8
htb:239_1,neural_sota,6,5,10,0.3333333333333333,12,4
htb:239_1,neural_gold,6,5,10,0.3333333333333333,12,4
htb:239_2,neural_sota,17,16,15,0.35294117647058826,34,12
htb:239_2,neural_gold,11,8,21,0.2727272727272727,22,6
htb:240,neural_sota,4,3,9,0.375,8,3
htb:240,neural_gold,9,3,4,0.1111111111111111,18,2
htb:241_1,neural_sota,10,6,19,0.35,20,7
htb:241_1,neural_gold,11,6,18,0.4090909090909091,22,9
htb:241_2,neural_sota,20,6,14,0.675,40,27
htb:241_2,neural_gold,22,5,12,0.5227272727272727,44,23
htb:242_1,neural_sota,15,13,16,0.6333333333333333,30,19
htb:242_1,neural_gold,14,9,17,0.6071428571428571,28,17
htb:242_2,neural_sota,7,4,6,0.35714285714285715,14,5
htb:242_2,neural_gold,6,6,7,0.3333333333333333,12,4
htb:243,neural_sota,13,3,5,0.23076923076923078,26,6
htb:243,neural_gold,10,8,8,0.2,20,4
htb:244,neural_sota,4,4,10,0.0,8,0
htb:244,neural_gold,4,5,10,0.125,8,1
htb:245,neural_sota,6,2,5,0.5,12,6
htb:245,neural_gold,8,3,3,0.375,16,6
htb:246,neural_sota,7,10,19,0.35714285714285715,14,5
htb:246,neural_gold,13,11,13,0.07692307692307693,26,2
htb:247,neural_sota,10,4,8,0.25,20,5
htb:247,neural_gold,11,5,7,0.045454545454545456,22,1
htb:248_1,neural_sota,5,4,8,0.4,10,4
htb:248_1,neural_gold,3,3,10,0.0,6,0
htb:248_2,neural_sota,7,8,12,0.42857142857142855,14,6
htb:248_2,neural_gold,8,10,11,0.375,16,6
htb:248_3,neural_sota,6,2,11,0.3333333333333333,12,4
htb:248_3,neural_gold,10,1,7,0.2,20,4
htb:249,neural_sota,19,8,17,0.21052631578947367,38,8
htb:249,neural_gold,17,6,19,0.20588235294117646,34,7
htb:250,neural_sota,1,0,0,1.0,2,2
htb:250,neural_gold,1,0,0,1.0,2,2
